Австрия;Вена
Азербайджан;Баку
Албания;Тирана
Беларусь;Минск
Бельгия;Брюссель
Болгария;София
Босния и Герцеговина;Сараево
Ватикан;Ватикан
Великобритания;Лондон
Венгрия;Будапешт
Германия;Берлин
Греция;Афины
Грузия;Тбилиси
Дания;Копенгаген
Ирландия;Дублин
Исландия;Рейкьявик
Испания;Мадрид
Италия;Рим
Кипр;Никосия
Латвия;Рига
Литва;Вильнюс
Лихтенштейн;Вадуц
Люксембург;Люксембург
Мальта;Валлетта
Молдова;Кишинев
Монако;Монако
Нидерланды;Амстердам
Норвегия;Осло
Польша;Варшава
Португалия;Лиссабон
Республика Македония;Скопье
Россия;Москва
Румыния;Бухарест
Сербия;Белград
Словакия;Братислава
Словения;Любляна
Турция;Анкара
Украина;Киев
Финляндия;Хельсинки
Франция;Париж
Хорватия;Загреб
Черногория;Подгорица
Чехия;Прага
Швейцария;Берн
Швеция;Стокгольм
Эстония;Таллинн
